index,year,count,sentiment,song,singer,line
182,2013,28,1,Spraying My Pen,Saukrates,"Ain't no apprentice, I'm Donald Trump / Get money, get money, I don't succumb"
183,2013,29,1,The Dangerous Three,R.A. The Rugged Man,"I'm the Don: Corleone, Cornelius, Trump, King"
184,2013,30,1,Trailer,Ace Hood,"I'm trying to get richer than Trump, a couple million for lunch"
185,2013,31,1,We Made Our Own,Future,"I'm John Gotti paid, now I'm going Donald Trump"
186,2013,32,2,Dis Ain't What You Want (Remix),French Montana,"You can hate, don't frown, my n---- / With Donald Trump in the trunk, my n----"
187,2013,33,2,Raiders Cap,Demigodz,Blow your wig to the side like hair on Donald Trump
188,2014,1,0,Bizarre,Mouf,"Here trump shit, Donald Trump shit"
189,2014,2,0,Hollow Da Don vs. Joe Budden,Joe Budden,"Senseless, Apprentice I thought Da Don knew Trump (Donald Trump)"
190,2014,3,0,I Mean It (Remix),Rick Ross,I'm at the poker table like I'm Donald Trump
191,2014,4,0,Keith Sweat (Jodeci Freestyle),Young Tero,"Cause I got goons that keep the fire, no Donald Trump"
192,2014,5,0,Last Year,Borgore,"Fuck the Trump, I want my own tower"
193,2014,6,1,10 2 10 (Remix),Rick Ross,"I got a place at the Trump, just to pray for advice"
194,2014,7,1,Dipshits,Cam'ron,"Lookin' for me? Top floor suite of the Trump, baby"
195,2014,8,1,Flawless Remix,Nicki Minaj,"I told him meet me at the Trump, Ivanka"
196,2014,9,1,Giv No Fuks,Migos,"Wake up in the morning, up like Donald Trump"
197,2014,10,1,Hazelton Trump,OB O'Brien,"Uh, I know this girl, I call her Hazelton Trump"
198,2014,11,1,Hustle Harder,Common,She know what n----s want she know how to make 'em hunt / Hotel suite at the Trump
199,2014,12,1,Look Me in My Eyes,Vado,"Having a bunch in the Plaza, top floor on the Trump"
200,2014,13,1,Maybe You Love Me,RiFF RAFF,Trump towers with Donald (Donald) I can't drive a Honda (uh uh)
201,2014,14,1,Off the Corner,Meek Mill,Going Donald Trump numbers on the corner
202,2014,15,1,On the Way,Young Thug,Bitches got bumps and I'm rich just like Donald Trump
203,2014,16,1,Party Ain't A Party,2 Chainz,Exit the club to the Trump
204,2014,17,1,Priceless,Tory Lanez,I'm countin' money like I'm Donald Trump
205,2014,18,1,Sirens,Hoodie Allen,Last night at the Trump Tower taking drunk showers
206,2014,19,1,Tightanic,Demark,We'å�ll run the market like we be Donald Trump
207,2014,20,1,Truth,God,"Tryna add a couple more zeroes, Donald Trump is my hero"
208,2014,21,1,What We Doing,Fat Trel,Where we at? (Trump Tower)
209,2014,22,2,InHeiritance,King Mez,Trump for the china white and they mental like dynamite
210,2015,1,0,"Blase (Jeezy, Juicy J & Diddy Remix)",Ty Dolla $ign,Smoking power at the Trump tower
211,2015,2,0,El Chapo,The Game,"Arrogant rich n----, we might vote for Trump"
212,2015,3,0,Flavas Back,Chino Tovar,Donald Trump! (Fire that bitch!)
213,2015,4,0,Free Enterprise,Rick Ross,"He Kenyan, Trump wanted his certificate of birth"
214,2015,5,0,Have a Nice Day,Ab-Stract,"No Donald, I'd Trump that bitch"
215,2015,6,0,Loco,Young Buck,She getting down and she stick it out for that money shot / Trump cake
216,2015,7,0,Making Some Moves,DAJ,"Hugo Boss, [?], I just Donald Trump you"
217,2015,8,0,R.I.C.O. (Remix),Waka Flocka Flame,"Feeling like Donald Trump, bitch you is fired"
218,2015,9,0,Ransom,Rich White Ladies,"No Donald Trump, Bill Gates or Bruce Wayne / The only thing I had to my name was a few dreams"
219,2015,10,1,Sway in The Morning Freestyle,Eminem,"Smokin at the Trump Tower, bout to call a ho"
220,2015,11,1,Computers (Freestyle),Migos,I'm with my Mexican bitch at the Trump
221,2015,12,1,Dope Spot,Cam'ron,I've seen more holes than a golf course on Donald Trumps course
222,2015,13,1,Fired,Tech N9ne,"Pockets Trump like I just struck the lottery, lotto"
223,2015,14,1,PNT,Apollo Brown & Ras Kass,"I could switch lanes, Donald Trump private planes"
224,2015,15,1,Purpose,Young Thug,Joey made this beat in the Trump Tower
225,2015,16,1,So Tight,Hugh Lee,Living life like Donald Trump
226,2015,17,1,Straight Drop,Gucci Mane,I do more deals than Donald Trump does
227,2015,18,1,Trap Problems,Migos,"Bel Air bottles like a boss, penthouse at the Trump"
228,2015,19,1,Zion,Omen,Up like Donald Trump
229,2015,20,1,10 Times,Freddie Gibbs,Presidential shit; the hood Donald Trump
230,2015,21,1,Buku,Robb Bank$,Downtown livin' at the Trump
231,2015,22,2,Constantly Hating,Young Thug,"Play with him, bitch you better off voting for Donald Trump"
232,2015,23,2,Driving Gloves,The Alchemist,I donå�t fuck with Donald Trump he donå�t like us
233,2015,24,2,Florida State,RiFF RAFF,Come through and knock Donald Trump out his toupee
234,2015,25,2,Gratitude,Talib Kweli,Stop deportation we just chasing dreams / Donald Trump - King of Slavery
235,2015,26,2,Neighborhood Scientists,Migos,Assassinate Trump like I'm Zimmerman
236,2015,27,2,PlaneWalker,Bobby Raps,Don't look like change will happen soon / Donald Trump is all that they talk about
237,2015,28,2,She Wanna Fuck,Rick Ross,And I'm fuck wat Donald Trump talk bout I like change when I met Rosetta
238,2015,29,2,Up Like Trump,Rae Sremmurd,"Young n----s get it, fuck Donald Trump"
239,2015,30,2,Way It Go,SD,"And fuck Donald Trump, man / I'm sending you straight to Mexico to live in, motherfucker"
240,2015,31,2,Wet Dollars,Tink,Tie Donald Trump to a stump take a bump with him and a drag
241,2015,32,2,Black Friday,Kendrick Lamar,I'm fucked worse than Donald Trump on Lexapro in Mexico across from a Texaco in McDonald's drunk
242,2016,1,0,Datpiff (freeverse series Ep. 4),Chris Webby,You'll never see it like Donald Trump on a prayer mat
243,2016,2,0,Gucci Comin Home,BIA,Man if Gucci comin' home then we don't need no Donald Trump
244,2016,3,0,Lost a Fan,KXNG Crooked,"She homeless and they don't give a fuck / Gentrification, they laughin' getting rich as Trump"
